achievement_game_url,achievement_url,achievement_name,achievement_desc,achievement_earned,achievement_score,ta_score,ta_ratio
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241012/modified-achievement,Modified,Used your first Mod,02 Apr 19,(5),6,1.34
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241029/joy-ride-achievement,Joy Ride,Entered Test Drive in any car,31 Mar 19,(5),9,1.87
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240987/fashion-statement-achievement,Fashion Statement,Unlock 100 Driver Gear suits,31 Mar 19,(50),107,2.15
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a241023/storm-chaser-achievement,Storm Chaser,Completed a race in every Rain Weather Scenario,31 Mar 19,(10),11,1.11
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240986/decked-out-achievement,Decked Out,Unlock 50 Driver Gear suits,31 Mar 19,(20),36,1.83
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240977/welcome-to-forza-motorsport-achievement,Welcome to Forza Motorsport,Completed your first race,31 Mar 19,(5),5,1.04
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240985/if-the-shoe-fits-achievement,If The Shoe Fits…,Unlock 25 Driver Gear suits,31 Mar 19,(10),15,1.55
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240984/suit-up-achievement,Suit Up,Unlock 10 Driver Gear suits,31 Mar 19,(5),6,1.25
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240980/bronze-collector-achievement,Bronze Collector,Collected 100 cars,31 Mar 19,(10),17,1.77
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240989/rare-collector-achievement,Rare Collector,Reached Car Collector Tier 3,31 Mar 19,(10),10,1.02
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240990/super-rare-collector-achievement,Super Rare Collector,Reached Car Collector Tier 4,31 Mar 19,(10),13,1.33
https://www.trueachievements.com/game/Forza-Motorsport-7/achievements,https://www.trueachievements.com/a240988/uncommon-collector-achievement,Uncommon Collector,Reached Car Collector Tier 2,31 Mar 19,(5),5,1.01
https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,https://www.trueachievements.com/a215614/out-in-front-achievement,Out in Front,Lead for a total of 50 miles.,20 Jan 18,(15),29,1.96
https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,https://www.trueachievements.com/a215622/grand-tour-achievement,Grand Tour,Complete all races in the Showcase Tour.,20 Jan 18,(100),193,1.93
https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,https://www.trueachievements.com/a215623/welcome-to-forza-hub-achievement,Welcome to Forza Hub,Visit the Forza Hub app from Forza Motorsport 6: Apex.,14 Dec 17,(50),73,1.46
https://www.trueachievements.com/game/Forza-Motorsport-6-Apex/achievements,https://www.trueachievements.com/a215603/welcome-to-forza-motorsport-achievement,Welcome to Forza Motorsport,Complete your first race.,14 Dec 17,(25),25,1.0
https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,https://www.trueachievements.com/a196718/to-the-max-achievement,TO THE MAX,Fully upgrade 3 cars,24 Jan 17,(10),44,4.43
https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,https://www.trueachievements.com/a196717/max-power-achievement,MAX POWER,Fully upgrade 1 car,18 Jan 17,(5),17,3.5
https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,https://www.trueachievements.com/a196716/a-fine-racing-machine-achievement,A FINE RACING MACHINE,Fully upgrade one stat of any car,07 Aug 16,(10),28,2.89
https://www.trueachievements.com/game/Order-and-Chaos-Online/achievements,https://www.trueachievements.com/a177835/loremaster-achievement,Loremaster,Complete 5 quests,21 May 16,(10),12,1.25
https://www.trueachievements.com/game/Order-and-Chaos-Online/achievements,https://www.trueachievements.com/a177825/ready-to-go-achievement,Ready to Go,Finish a Tutorial Mission,21 May 16,(5),5,1.01
https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,https://www.trueachievements.com/a196720/clean-win-achievement,CLEAN WIN,Win a race without using Nitro,18 May 16,(20),44,2.22
https://www.trueachievements.com/game/Jetpack-Joyride-Windows-Phone/achievements,https://www.trueachievements.com/a177156/not-so-green-achievement,Not So Green,Complete 10 missions.,20 Aug 15,(5),5,1.15
https://www.trueachievements.com/game/Asphalt-8-Airborne-Windows-Phone/achievements,https://www.trueachievements.com/a196713/show-me-the-money-achievement,SHOW ME THE MONEY,"Acquire 10,000 credits during a single race",08 Aug 15,(10),35,3.51
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202871/team-player-achievement,TEAM PLAYER,Join a squad,22 Jul 15,(15),32,2.17
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202872/commander-achievement,COMMANDER,Create a squad,21 Jul 15,(5),10,2.06
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202862/mad-dog-achievement,MAD DOG,Complete campaign missions: 5,21 Jul 15,(10),14,1.44
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202863/triggerhappy-achievement,TRIGGER-HAPPY,Kill enemies in the campaign: 50,21 Jul 15,(15),19,1.29
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202868/brain-surgery-achievement,BRAIN SURGERY,Perform headshots: 10,21 Jul 15,(15),18,1.2
https://www.trueachievements.com/game/Modern-Combat-5-Blackout/achievements,https://www.trueachievements.com/a202869/gun-bunny-achievement,GUN BUNNY,Complete the tutorial,20 Jul 15,(20),20,1.01
